sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A25 F17 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:44:08 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A25 F66 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:30:41 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A25 F66 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:56:37 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A25 F111 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:00:07 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A25 F111 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:11:44 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A27 F17 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:25:00 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A27 F74 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:44:44 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A27 F74 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:12:37 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A27 F124 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:20:29 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A27 F124 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:32:28 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A29 F18 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:00:42 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A29 F18 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,07:49:27 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A29 F71 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:30:05 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A29 F71 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:22:31 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A29 F119 I0 R1,population,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:24:57 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
A29 F119 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),paraquat,37,511145,BOP1000,,/var/data/NC_000913.3.gb,0.35.4,08:07:31 13 Jun 2021,ROS_eAMP,ERS,Kevin Rychel,
