sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A17 F45 I1 R1,clonal,20uM FeSO4 and 10mM sodium citrate,M9,glucose(4g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,NC_000913,,/Users/muyao/storage/mockamitesh/eep-amitesh-raw/EEP_Iron_ALE/working/NC_000913_3.gb,0.33.1,16:31:22 28 Nov 2018,Iron-ALE,OxyR,Amitesh Anand,10.1093/molbev/msz251
A18 F39 I1 R1,clonal,20uM FeSO4 and 10mM sodium citrate,M9,glucose(4g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,NC_000913,,/Users/muyao/storage/mockamitesh/eep-amitesh-raw/EEP_Iron_ALE/working/NC_000913_3.gb,0.33.1,17:32:59 28 Nov 2018,Iron-ALE,OxyR,Amitesh Anand,10.1093/molbev/msz251
A19 F39 I1 R1,clonal,20uM FeSO4 and 10mM sodium citrate,M9,glucose(4g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,NC_000913,,/Users/muyao/storage/mockamitesh/eep-amitesh-raw/EEP_Iron_ALE/working/NC_000913_3.gb,0.33.1,15:12:37 28 Nov 2018,Iron-ALE,OxyR,Amitesh Anand,10.1093/molbev/msz251
A20 F40 I1 R1,clonal,20uM FeSO4 and 10mM sodium citrate,M9,glucose(4g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),,37,511145,NC_000913,,/Users/muyao/storage/mockamitesh/eep-amitesh-raw/EEP_Iron_ALE/working/NC_000913_3.gb,0.33.1,17:05:40 28 Nov 2018,Iron-ALE,OxyR,Amitesh Anand,10.1093/molbev/msz251
