sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),,37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,05:04:05 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
A1 F210 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),IPA(500mM),37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,09:00:44 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
A2 F210 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),IPA(500mM),37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,11:31:04 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
A3 F210 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),IPA(500mM),37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,06:09:58 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
A4 F210 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),IPA(500mM),37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,10:06:08 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
A5 F210 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),IPA(500mM),37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,03:52:05 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
A6 F210 I1 R1,clonal,,M9,glucose(5),NH4Cl(2),"KH2PO4(3),Na2HPO4(17.1)",MgSO4(0.123),CaCl2(0.1325),IPA(500mM),37,1110693,MDS42,,/var/data/CP042583_1.gb,0.33.1,07:31:17 07 Mar 2020,Isopropanol_tolerance_of_Escherichia_coli,Isopropanol tolerance of Escherichia coli,Takaaki Horinouchi,10.1016/j.jbiotec.2017.06.408
