sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A1 F0 I1 R1,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,01:08:54 10 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A1 F0 I1 R2,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,01:48:23 10 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A1 F20 I1 R1,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,01:59:55 10 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A1 F20 I1 R2,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,01:24:27 10 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A2 F20 I1 R1,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,23:38:10 09 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A2 F20 I1 R2,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,23:14:25 09 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A3 F20 I1 R1,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,00:38:45 10 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
A3 F20 I1 R2,clonal,,AM1 mineral salt medium,,(NH4)2HPO4(2.6412);NH4H2PO4(0.869),(NH4)2HPO4(2.6412);NH4H2PO4(0.869),MgSO4(0.375),,,37,1335916,Escherichia coli XW043,,/var/data/Ecoli_LY180_CP006584.gb,0.33.1,00:00:10 10 Apr 2020,Xylose_ALE,2017_PNAS_Ecoli_CCR_ALE,ale,10.1073/pnas.1700345114
