sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A4 F111 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,07:41:44 25 Feb 2020,pgi,CCK,Elsayed Mohamed,
A4 F111 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,15:58:50 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A5 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,01:09:48 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A5 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,16:22:16 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A5 F28 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,09:21:12 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
A5 F109 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,17:25:17 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A5 F109 I1 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,15:11:52 29 Feb 2020,pgi,CCK,Elsayed Mohamed,
A5 F109 I2 R1,clonal,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,20:36:17 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A6 F9 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,12:31:27 28 Feb 2020,pgi,CCK,Elsayed Mohamed,
A6 F17 I0 R1,population,,M9,Glucose(4),NH4Cl(1),"KH2PO4(3),Na2PO4(6.8)",MgSO4(0.24),None,,37,511145,Δpgi,,/var/data/NC_000913_3.gb,0.33.1,15:34:13 26 Feb 2020,pgi,CCK,Elsayed Mohamed,
