sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A3 F50 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"glycine(2mM),L-serine(), NaCl(0.5)",37,511145,E. coli K12 MG1655 ΔsdaA ΔsdaB ΔtdcG ΔglyA,,NC_000913_3.gb,0.27.1,01:29:52 21 Feb 2016,SER,SER,Adam Feist,10.1016/j.ymben.2016.11.008 10.1186/s12864-020-06920-4
A3 F50 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"glycine(2mM),L-serine(), NaCl(0.5)",37,511145,E. coli K12 MG1655 ΔsdaA ΔsdaB ΔtdcG ΔglyA,,NC_000913_3.gb,0.27.1,02:10:51 21 Feb 2016,SER,SER,Adam Feist,10.1016/j.ymben.2016.11.008 10.1186/s12864-020-06920-4
A4 F50 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"glycine(2mM),L-serine(), NaCl(0.5)",37,511145,E. coli K12 MG1655 ΔsdaA ΔsdaB ΔtdcG ΔglyA,,NC_000913_3.gb,0.27.1,03:32:07 21 Feb 2016,SER,SER,Adam Feist,10.1016/j.ymben.2016.11.008 10.1186/s12864-020-06920-4
A4 F50 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"glycine(2mM),L-serine(), NaCl(0.5)",37,511145,E. coli K12 MG1655 ΔsdaA ΔsdaB ΔtdcG ΔglyA,,NC_000913_3.gb,0.27.1,03:05:08 21 Feb 2016,SER,SER,Adam Feist,10.1016/j.ymben.2016.11.008 10.1186/s12864-020-06920-4
A5 F50 I1 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"glycine(2mM),L-serine(), NaCl(0.5)",37,511145,E. coli K12 MG1655 ΔsdaA ΔsdaB ΔtdcG ΔglyA,,NC_000913_3.gb,0.27.1,01:52:32 21 Feb 2016,SER,SER,Adam Feist,10.1016/j.ymben.2016.11.008 10.1186/s12864-020-06920-4
A5 F50 I2 R1,clonal,,M9,glucose(2g/L),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),"glycine(2mM),L-serine(), NaCl(0.5)",37,511145,E. coli K12 MG1655 ΔsdaA ΔsdaB ΔtdcG ΔglyA,,NC_000913_3.gb,0.27.1,02:33:50 21 Feb 2016,SER,SER,Adam Feist,10.1016/j.ymben.2016.11.008 10.1186/s12864-020-06920-4
