sample_name,clonal_or_population,tech_rep_description,media_description,carbon_source,nitrogen_source,phosphorous_source,sulfur_source,calcium_source,supplement,temperature,strain,strain_details,taxonomy_id,reseq_reference,breseq_version,reseq_date,experiment,project,person,doi
A0 F0 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,15:38:47 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
A1 F167 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,19:37:05 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
A2 F167 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,13:21:58 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
A3 F167 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,11:12:54 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
A4 F167 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,07:58:58 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
A5 F167 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,09:33:30 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
A6 F167 I0 R1,population,,M9,C6H12O6(4),NH4Cl(1),"KH2PO4(3),Na2HPO4(6.8)",MgSO4(0.24),CaCl2(0.1),C2H5OH(39.5),30,316407,E.coli W3110,Illumina/ 500,/var/data/Ref_Ecoli_W3110.gb,0.33.1,17:35:48 17 Mar 2020,Ecoli_Ethanol_Stress_ALE,E.coli Ethanol Stress, Chikara Furusawa,10.1186/s12862-015-0454-6
